img c asm1_1 asm1_2 asm1_3 asm1_4 asm2_1 asm2_2 
colores.512x512.bmp 34309157 43595537 34580312 45185974 44555348 28576986 30819113 
lena.512x512.bmp 34189584 43245835 34369239 43516764 44190025 28219226 31776214 
terminator.512x512.bmp 34366990 45215585 35219065 47143639 45281527 30929382 31515407 
